Risk ID,Hazard & Scenario,Phase,Pre-Control Likelihood,Pre-Control Severity,Pre-Control Risk Level,Governing Regulations & Standards,Preventative Controls,Mitigative Controls,Critical Control Verification (CCV) Methods,Residual Likelihood,Residual Severity,Residual Risk Level,,
CRIT-01,SIMOPS Ignition / Loss of Control - Construction hot work ignites hydrocarbon release during phased startup,Commissioning & Transition,4,5,CRITICAL (20),WorkSafeBC OHS Reg Part 23; CSA Z276 Clause 11; WCA s. 24,1. SIMOPS Management Procedure with physical segregation. 2. Daily Joint SIMOPS Coordination Meetings. 3. Gas monitoring and LEL sweeps for hot work within 15m.,1. Deploy mobile fire barriers and water curtains. 2. Assigned fire watches with radio to MCR.,SIMOPS permit audits and LEL gas test log reviews (Daily by SIMOPS Coordinator).,1,5,MEDIUM (5),,
CRIT-02,Introduction of Hydrocarbons (First Gas Leakage) - Loss of containment during initial gassing up of cold boxes/tanks,Commissioning & Startup,3,5,CRITICAL (15),BCER LNG Facility Regulation; CSA Z276 Clause 10; NFPA 59A,1. Pre-Start Safety Reviews (PSSR) before hydrocarbon entry. 2. Nitrogen/helium flange leak testing. 3. Establish controlled Red Zone.,1. 100% active F&G and ESD systems. 2. Emergency response teams on standby.,Verify PSSR sign-offs and helium leak test logs (Pre-startup by Commissioning Manager).,2,5,HIGH (10),,
CRIT-03,Bypassed Safety-Critical Elements (SCEs) - Hydrocarbons introduced while F&G or ESD are bypassed for testing,Commissioning,3,5,CRITICAL (15),BCER LNG Facility Regulation s. 4; CSA Z276 Clause 10.3; WorkSafeBC OHS Reg Part 10,1. SCE Bypass and Defeat Registry (Operations Director sign-off). 2. SIS Management of Change process. 3. Physical lockout keys for bypasses.,1. Portable gas detectors and visual watchstanding. 2. Local manual deluge overrides.,Audit active DCS bypass register against physical bypass keys and SCE bypass permit authorization (Weekly by Process Safety Engineer).,2,5,HIGH (10),,
LOTO-01,LOTO & Isolation Boundary Confusions - Construction crew works under construction LOTO while operations energizes system under operational PTW,Late Construction to Commissioning,4,5,CRITICAL (20),WorkSafeBC OHS Reg Part 10; NB OHS Reg 91-191 Sec 239-240,1. Golden Gate LOTO transition procedure. 2. Physically distinct padlocks (Red/Blue/Yellow). 3. Map and sign-off boundary isolation drawings (P&IDs) daily.,1. Mandatory walkdowns of isolation points before de-isolation. 2. 100% field verification of zero energy states.,Field walkdowns and LOTO boundary box audits with physical padlock count (Daily during shift handover by Area Authority).,1,5,MEDIUM (5),,
CSE-01,Confined Space Entry (CSE) Transition Hazards - Worker enters vessel under old construction permit exposing to nitrogen purge or unisolated lines,Commissioning & Startup,4,5,CRITICAL (20),WorkSafeBC OHS Reg Part 9; NB OHS Reg 91-191 Sec 262.1-262.9,1. Mandate 100% operational CSE permit system once nitrogen/hydrocarbons are introduced. 2. Physical isolation (blinding) of all process lines. 3. Multi-level gas testing before entry.,1. Position dedicated sentry outside entrance with active communication. 2. Continuous ventilation and atmospheric monitoring.,"Review pre-entry gas test logs, verify physical line blinds, and check sentry log sheets (Pre-entry/Shiftly by EHS Inspector).",1,5,MEDIUM (5),,
WAT-01,Working Over or Near Water Falls - Personnel fall into water during jetty/terminal construction or mooring trials causing drowning/hypothermia,Late Construction & Commissioning,3,4,HIGH (12),WorkSafeBC OHS Reg Sec 20.10-20.12; NB OHS Reg 91-191 Sec 343-345,1. Install engineered handrails and netting on all terminal/jetty walkways. 2. 100% tie-off fall protection within 2m of edge. 3. Daily gangway checks.,1. Mandate Transport Canada-approved auto-inflating PFDs. 2. Dedicated rescue boat on standby. 3. Position lifebuoys and ladders every 50m.,Inspect jetty handrails/safety net integrity and verify PFD water-activation cartridge inspection tags (Weekly by EHS Specialist).,1,4,LOW (4),,
UTIL-01,Nitrogen Asphyxiation during Purging - Nitrogen leak in enclosed spaces causing worker asphyxiation,Pre-commissioning & Commissioning,3,5,CRITICAL (15),WorkSafeBC OHS Reg Part 9; WorkSafeBC OHS Reg Part 5,1. Nitrogen Purging Safety Procedure with ventilation criteria. 2. Warning barriers and signs at vents. 3. Positive pressure ventilation in adjacent buildings.,1. Personal O2 monitors for personnel. 2. Stage emergency retrieval systems (harnesses/tripods) and SCBAs.,Calibrate personal O2 monitors and inspect warning barriers at purging discharge points (Daily by HSE Technician).,1,5,MEDIUM (5),,
UTIL-02,Arc Flash / High Voltage Electrical Energization - Severe electrical fault or shock during utility startup,Pre-commissioning,3,5,CRITICAL (15),Technical Safety BC; WorkSafeBC OHS Reg Part 19; CSA Z462,1. Electrical Energization Plan signed by P.Eng/TSBC. 2. Clear LOTO boundary transition. 3. Arc flash modeling and boundary labeling.,1. Certified Category 4 arc flash PPE and insulated tools. 2. Remote-actuated switching.,Verify PE-signed energization permits and audit Category 4 arc-flash PPE compliance (Pre-energization / Daily by Electrical Superintendent).,1,5,MEDIUM (5),,
CHEM-01,Toxic Refrigerant Release (Anhydrous Ammonia) - Ammonia release during cooling trials exposing workers,Commissioning & Startup,3,5,CRITICAL (15),WorkSafeBC OHS Reg Part 5; CSA Z276 Clause 11; BC Environmental Management Act,1. Mechanical integrity verification (UT/RT) before fill. 2. Pre-fill relief valve checks. 3. Fixed toxic detectors.,1. Water spray deluge systems to knock down vapors. 2. Stage Level A chemical suits.,Calibrate fixed ammonia gas detectors and perform functional testing of water deluge spray systems (Monthly by Instrument Tech).,1,5,MEDIUM (5),,
1-Mar,Marine Terminal Mechanical / Loading Arm Failure - Loading arm failure during wet trials causing cryogenic spill,Commissioning & Startup,3,5,CRITICAL (15),Transport Canada Marine Safety; Canada Shipping Act; TERMPOL,1. Dry and cryogenic nitrogen testing of loading arms. 2. Daily calibration of ERC/ERS loops. 3. Mooring analysis and vessel vetting.,1. Automated dry-break isolation on ERS trigger. 2. Deploy water shield systems to protect hull.,N/A,1,5,MEDIUM (5),,
